namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A2,Exaggeration,b6db58d0-7d18-4644-96fb-3a2b813cf534,ed21b4db-bc8d-41ac-85d5-a85603a7ada2,Exaggeration,1,2,1605,1613,doomsday
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A2,Exaggeration,b6db58d0-7d18-4644-96fb-3a2b813cf534,ed21b4db-bc8d-41ac-85d5-a85603a7ada2,Exaggeration,1,2,1567,1589,Without being dramatic
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A1,Metaphorical Language,b7fc49d9-0b03-440d-bd81-fe0faf61d9ec,f60494a3-7e72-4ce1-8f09-9a9f7f2aa168,Metaphorical Language,1,2,1605,1613,doomsday
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A1,Metaphorical Language,b7fc49d9-0b03-440d-bd81-fe0faf61d9ec,f60494a3-7e72-4ce1-8f09-9a9f7f2aa168,Metaphorical Language,1,2,1605,1613,doomsday
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",T1.Q2.A2,Considerably inappropriate,d465ab2e-78d2-4af3-b67c-fecbe91a3eb2,b1ad7e65-aba8-46f6-bfd1-caf3b285ae5b,Considerably inappropriate,0,0,0,0,
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q3,How much does the exaggeration misrepresent reality?,T1.Q3.A2,Considerable misrepresentation,c70642db-e4c8-4d8d-8e9e-f8306132274c,f7e4eede-785f-4bcd-bb4c-d83ffc122fa9,Considerable misrepresentation,0,0,0,0,
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,902dd70f-cd07-410e-b711-1dc6f2f999e8,a0486c0b-262e-4f83-940b-46a883cbb1f1,2022-06-29 14:50:51.059761,2022-06-29 14:52:36.893163,105.833402,Language Specialist V4,T1.Q14,"Does the bolded passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",T1.Q14.A1,Nope,d522dea5-0299-4c33-b7ed-5c8b3e00f1d2,4b54e91e-f623-43a7-83ae-2c60fcf9c369,Nope,0,0,0,0,
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,e939908f-3a3e-47a6-b8ad-a4c7108f52a8,1051a104-2f6c-45f4-a74a-50755fc8e291,2022-06-30 23:48:24.290430,2022-06-30 23:51:02.136957,157.846527,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A14,Nothing wrong with the language,51795b94-7b59-476f-8c71-b13c790a136d,c2e71d51-a676-47d4-b83d-c2393de800ce,Nothing wrong with the language,1,2,1476,1491,Doomsday Planes
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,e939908f-3a3e-47a6-b8ad-a4c7108f52a8,1051a104-2f6c-45f4-a74a-50755fc8e291,2022-06-30 23:48:24.290430,2022-06-30 23:51:02.136957,157.846527,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A14,Nothing wrong with the language,51795b94-7b59-476f-8c71-b13c790a136d,c2e71d51-a676-47d4-b83d-c2393de800ce,Nothing wrong with the language,1,2,1591,1620,these are the doomsday planes
Language2022_03_17_Training_v2,ac6e2782162927721b03846726b0087bd0e1d1305020e7ee56cbf4498272e410,157471f4-6239-40e7-9394-e0465d1c6e71,https://pe.goodlylabs.org/project/TrainingTask_Language/task/8436,4a73ff4a-017b-479d-b202-f0a99cf6b699,Covid2Articles/white-house-physician-president-trump-will-carry-out-duties_GS2022_06_22.txt,530711968,white-house-physician-president-trump-will-carry-out-duties.txt,371b4c41af48dbc0ae7ef3333945f2f7a3ce168a5d86b334175ea7ed3c158de3,2163,PYBOSSA,999,15,e939908f-3a3e-47a6-b8ad-a4c7108f52a8,1051a104-2f6c-45f4-a74a-50755fc8e291,2022-06-30 23:48:24.290430,2022-06-30 23:51:02.136957,157.846527,Language Specialist V4,T1.Q1,Which of the following appears in the bolded text to the left? Check all that apply and highlight each corresponding passage in the bolded text.,T1.Q1.A3,Scandal,516cf9b0-2441-40cd-8449-307cc8fafff5,76143474-2206-4d06-8d7c-4aab8d2d1198,Scandal,1,1,1567,1589,Without being dramatic
