namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q1,Does the passage of reasoning in (or around the) bold font … (check all that apply):,T1.Q1.A3,Include flawed reasoning/inferences?,20fd44a1-d604-4b04-ab17-b2eb1ed1f324,d69635f6-ec21-4fce-abc5-b4f84cac595b,Include flawed reasoning/inferences?,1,1,2662,2762,"there will be a degradation of vital infrastructure, there will be economic losses on a global scale"
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q4,Does the passage in (and immediately around) the bold font contain any of the following general patterns of reasoning error?,T1.Q4.A2,Questionable prediction or evaluation of a likelihood or frequency.,060b7da9-510a-4fe9-b638-18cf969140a1,d8732a6f-2a1c-47c2-a530-683274278b05,Questionable prediction or evaluation of a likelihood or frequency.,1,1,2715,2762,there will be economic losses on a global scale
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q13,You noticed some questionable prediction or evaluation of a likelihood or frequency. Do you see any of the following fallacies?,T1.Q13.A5,Other misleading reasoning about likelihood or prediction,775883b1-6cf7-411f-9227-35869b923666,5465c402-f412-4f77-9dc9-fbebc167bd4c,Other misleading reasoning about likelihood or prediction,1,1,2662,2762,"there will be a degradation of vital infrastructure, there will be economic losses on a global scale"
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q18,You noticed misleading reasoning about likelihood or frequencies. How questionable or potentially misleading is it?,T1.Q18.A3,Somewhat misleading,8000f2a8-cb18-4d4f-820d-e0966beec751,bb9fbd3e-8f7b-497e-b8a1-8ab874222b38,Somewhat misleading,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q35,How confident are you about your answers for this task?,T1.Q35.A4,4: Somewhat confident,cb41d367-0579-4827-9264-20bbc7b9aa9e,801648fe-f4c3-43da-8650-c5bc8e54f57c,4: Somewhat confident,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,74ecc6ce-025e-46d5-92b0-b3482e69ac47,fe61e622-7cfa-4319-8663-fb8a184530a8,2022-07-06 15:16:37.218466,2022-07-06 15:29:50.209283,792.990817,Reasoning Specialist,T1.Q36,"Is there anything about the interface, instructions, or question wording that could be improved to make tasks like this easier?",T1.Q36.A1,placeholder answer for TEXT,84615fc4-6e3f-4650-a89c-c0059c14059e,eb292f3a-0a48-45d4-bc92-9eca2412eb00,need practice,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,5a762a0b-21f4-4090-891f-b7a23593c7c9,cfc6ad33-60fd-4a43-8c83-be5e9d551e73,2022-07-06 18:07:56.389658,2022-07-06 20:52:42.630470,9886.240812,Reasoning Specialist,T1.Q1,Does the passage of reasoning in (or around the) bold font … (check all that apply):,T1.Q1.A2,Imply a faulty premise or assumption not stated in the text?,a2db425f-3550-41ab-9c1b-2cd52d8ce929,a4e6cd82-d618-454a-9fdd-37e315475ade,Imply a faulty premise or assumption not stated in the text?,1,1,2662,2762,"there will be a degradation of vital infrastructure, there will be economic losses on a global scale"
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,5a762a0b-21f4-4090-891f-b7a23593c7c9,cfc6ad33-60fd-4a43-8c83-be5e9d551e73,2022-07-06 18:07:56.389658,2022-07-06 20:52:42.630470,9886.240812,Reasoning Specialist,T1.Q2,What is the assumption implied by the passage in (or around the) bold font?,T1.Q2.A1,placeholder answer for TEXT,65668ae7-7064-4b13-92a5-c8f0914a92c7,e77391cb-79c5-4805-9f66-67511a189655,That the infrastructure is not stable enough to survive a pandemic.,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,5a762a0b-21f4-4090-891f-b7a23593c7c9,cfc6ad33-60fd-4a43-8c83-be5e9d551e73,2022-07-06 18:07:56.389658,2022-07-06 20:52:42.630470,9886.240812,Reasoning Specialist,T1.Q3,You've indicated that the passage of reasoning relies on some flawed assumption or premise. How misleading is that assumption in this context?,T1.Q3.A4,Slightly misleading,9ba71c52-de75-410b-88ae-07e7844fb79b,699240b2-85a5-4e22-adce-206c85d2f27f,Slightly misleading,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,5a762a0b-21f4-4090-891f-b7a23593c7c9,cfc6ad33-60fd-4a43-8c83-be5e9d551e73,2022-07-06 18:07:56.389658,2022-07-06 20:52:42.630470,9886.240812,Reasoning Specialist,T1.Q4,Does the passage in (and immediately around) the bold font contain any of the following general patterns of reasoning error?,T1.Q4.A5,No fallacy or bias that I can see,7325c9ae-9514-47cc-aad1-58c5ba737346,34060bf6-0764-433e-b750-fd75a6af666d,No fallacy or bias that I can see,0,0,0,0,
Reasoning2022_01_24,f3dcf1cd286a293a25789ce04c2597e94661b4beecb7e2ffd32d0ca00ad32572,2abbdf02-9cdf-4251-b7fc-14cb6e2b1d78,https://pe.goodlylabs.org/project/TrainingTask_Reasoning/task/8474,0913c6cb-d0a8-4292-9b21-95f132213b1d,CovidArticles/2005CIAReportOnCoronavirus_GS2022_06_22.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,999,10,5a762a0b-21f4-4090-891f-b7a23593c7c9,cfc6ad33-60fd-4a43-8c83-be5e9d551e73,2022-07-06 18:07:56.389658,2022-07-06 20:52:42.630470,9886.240812,Reasoning Specialist,T1.Q35,How confident are you about your answers for this task?,T1.Q35.A2,2,4b9e34ef-a3b4-4774-aadf-1f9e3590f37f,023dcc70-0b34-4c4a-899a-be750676db00,2,0,0,0,0,
