article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,6e84b964-9df0-497d-9ea6-5889dced42ae,Sources2021_02_23,01.05.02,1,c14cfbf4-9178-4bad-a780-d59cf704a4ac,"{""contrib_count"": 4, ""answer_text_list"": []}",1,249,255,police
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,7f8a2e34-c1c5-4cc3-9a29-300c150e2fc4,Sources2021_02_23,01.12.01,1,3a420025-fc92-484a-aa88-7c73b6fa8e7b,"{""contrib_count"": 7, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,589abce1-14a6-4e55-b92a-5e0b2e9734ce,Sources2021_02_23,01.07.09,1,4610a084-b57f-4bdb-9807-f20bcabf8dea,"{""contrib_count"": 6, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,3b3f79e1-77cc-4f4c-8633-bc8a798ce2b9,Sources2021_02_23,01.02.02,1,49ee34db-883c-41c2-8a6a-d5e5ddfb828b,"{""contrib_count"": 5, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,ebfdd9ef-1978-458f-a089-7f9e2c2453a9,Sources2021_02_23,01.08.02,1,34edcf9d-4972-4742-914a-708b1325718b,"{""contrib_count"": 5, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,46dbb651-65cb-4dc1-8500-f87c46cd3b26,Sources2021_02_23,01.01.01,1,7e9ccb21-8e3f-4847-b7f0-10179ac3c497,"{""contrib_count"": 6, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,339619f2-9c20-4c2d-9244-0f9bd193383b,Sources2021_02_23,01.06.02,1,de990e39-41ac-4bdb-bd52-19081eeff520,"{""contrib_count"": 5, ""answer_text_list"": []}",1,260,375,a person has been arrested after an 82-year-old Asian woman was shoved from behind in Vancouver on Friday (Sept. 24
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,226651cf-54b2-4f05-94d5-101cf57f259a,0d03f18e-9da4-4a53-a716-85fa0f42934b,Sources2021_02_23,01.03.01,1,0c6cfcb0-51be-4afd-9deb-80c645cc8500,"{""contrib_count"": 4, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,e83496ac-d750-48be-9751-e28841739fe5,Sources2021_02_23,01.05.05,1,046ea196-fa0f-4ed5-ad7d-9d4190be802c,"{""contrib_count"": 7, ""answer_text_list"": []}",1,423,431,Visintin
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,c0e0c472-7caa-46e0-ab13-0fafc38cf1ac,Sources2021_02_23,01.05.05,2,046ea196-fa0f-4ed5-ad7d-9d4190be802c,"{""contrib_count"": 7, ""answer_text_list"": []}",1,710,718,Visintin
