namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e7ac54a1-b5c7-4e11-a7c3-2b9157675d69,T1.Q1,Why is the source being quoted?,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,cb44583b-2234-463b-a084-1daaf1890d88,T1.Q1.A1,"What the source has said or written is newsworthy by itself. It is important, interesting, and/or meaningful to some newsreaders.",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e7ac54a1-b5c7-4e11-a7c3-2b9157675d69,T1.Q1,Why is the source being quoted?,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",2,02b19f99-74a1-44a8-bfe3-8efd4b016a97,T1.Q1.A2,"The source is offering commentary, explanation, judgment, or context about something newsworthy.",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,0d9f8841-407c-43af-8103-486c2c6aab56,T1.Q2.A1,"Yes, definitely",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,fd35ec7d-6745-4fc7-a330-7768977eb58f,T1.Q2.A2,Yes,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,bfb4ba57-2b15-408e-9a89-553d0e2ecc9d,T1.Q2.A3,"Somewhat, yes",,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,61660ddc-522c-4d10-a594-a90b89ad3233,T1.Q2.A4,Barely,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,5af878ea-0efd-4ea4-9ee9-9f2f496df7ec,T1.Q2.A5,There's no way to know based on the information given,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,1c658b4c-ef1d-443b-bf41-5bc5019ad7a4,T1.Q2.A6,Not really,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,ea5a00f8-1bec-42fc-8e0d-9f1defd8c024,T1.Q2.A7,Not at all,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,daed9911-8870-4b20-ab48-ac46941e6a02,Quote Source Relevance,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",e66f6f7e-27e8-43d9-b037-11ecbee25ca1,T1.Q2,Does the experience/knowledge/position of the quoted source qualify them to speak or write such claims?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",8,785bf454-ffda-4782-93d7-ba37040e0812,T1.Q2.A8,Their experience/knowledge/position disqualifies them from making such claims,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
