namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8fe814cf-0d5c-4291-84c0-7e025657d967,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,73d7a14a-9ec6-404c-b2b7-a55508af3b76,T1.Q1.A1,"General Causation (In general, X causes Y.)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8fe814cf-0d5c-4291-84c0-7e025657d967,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,f91456b2-b2f6-40aa-a347-a537379edb79,T1.Q1.A2,"Singular Causation (In this case, A caused/is causing B)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",8fe814cf-0d5c-4291-84c0-7e025657d967,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,b5c3c5d0-4c59-4e26-8996-97cd64e29b93,T1.Q1.A3,No causal claim made,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,5a1fb1f4-d8b7-45c0-bce5-7d4c3b91c55f,T1.Q2.A1,Correlation,T1.Q4,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,ba2d1638-2509-4ce8-9130-39ea26d1d424,T1.Q2.A2,Cause precedes effect,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,fee5e5ec-ce13-43e7-aca6-5babee4eb8a5,T1.Q2.A3,The correlation appears across multiple independent contexts,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,0546a258-029e-46ed-a84f-9ea36d69a770,T1.Q2.A4,A plausible mechanism is proposed,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,780989ca-2765-4989-9cc3-08f3874489e0,T1.Q2.A5,An experimental study was conducted (natural experiments OK),"T1.Q4, T1.Q5",1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,e9c2715e-6047-4bc3-bd9b-591361023fe9,T1.Q2.A6,There is a clear dose-response curve,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid_Evidence2020_03_21,45dce5251bd3ea6e908fa33ac9e6a8e17e6830215912ce1626cf4206e159819c,32fbc0da-a6c1-418d-a1c3-1a62dc841049,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",74d61646-391b-4762-8a98-db254ab6d22f,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,c51b597d-2d96-4337-affe-b92836a08869,T1.Q2.A7,Experts are cited,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
