namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ff4f4e57-dcba-4846-ba1f-29ee489b2179,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8069,4c5c70da-81b9-4c14-bbe7-ecd59c5d6a04,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,4,c7c2d563-c795-44b6-9881-109fa6540acc,6acf6f00-47d9-422f-914d-998660d4510c,2022-05-04 04:23:22.045336,2022-05-04 04:23:32.785399,10.740063,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,27d4e6d1-915c-4648-93e5-9cfd224c04f7,89da4197-d8c3-4bc5-8c1f-7e5a15a81865,It is the main argument of the entire article,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ff4f4e57-dcba-4846-ba1f-29ee489b2179,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8069,4c5c70da-81b9-4c14-bbe7-ecd59c5d6a04,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,4,7eb4f29b-86b5-4026-ab1b-f58231b74d35,061e588a-d17a-4d2c-9031-f04451f5bf26,2022-05-04 08:13:56.667237,2022-05-04 08:14:44.671375,48.004138,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,12822dde-2e6a-412e-97b4-ad9946cbe197,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ff4f4e57-dcba-4846-ba1f-29ee489b2179,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8069,4c5c70da-81b9-4c14-bbe7-ecd59c5d6a04,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,4,1e501cef-0c48-4bed-8857-3e32f0e2d3b8,bfb27782-f723-45ef-95f2-0873a19ef27b,2022-05-04 12:59:16.660896,2022-05-04 13:29:49.841420,1833.180524,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,53d0536c-3b3e-423b-8228-5328d2b1ffde,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ff4f4e57-dcba-4846-ba1f-29ee489b2179,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8069,4c5c70da-81b9-4c14-bbe7-ecd59c5d6a04,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,4,f3c79d83-8451-413a-9c51-1c0418b48b91,4777ebce-20ee-4e60-8909-799d4c1c83a9,2022-05-10 03:29:06.134062,2022-05-10 04:06:27.532902,2241.39884,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,0c618c26-982b-45af-817a-85cc6a3c670a,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ea5e5f4d-0f73-4f47-b762-c358904493bc,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8070,5ddea3ff-dc0d-4c74-88b1-990a601c02bc,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,3,7dc01e6b-3458-4091-b083-7d3b043e7f81,061e588a-d17a-4d2c-9031-f04451f5bf26,2022-05-04 08:13:56.870749,2022-05-04 08:15:35.334777,98.464028,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A3,It is an argument that the author has only limited interest in supporting or refuting,ace140b4-ee20-47d4-894e-8628a397ae65,126b17ec-cbaa-459b-a5d0-f58343fc0368,It is an argument that the author has only limited interest in supporting or refuting,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ea5e5f4d-0f73-4f47-b762-c358904493bc,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8070,5ddea3ff-dc0d-4c74-88b1-990a601c02bc,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,3,9adaa29c-3203-494d-8f98-0bd3d8b1d7be,bfb27782-f723-45ef-95f2-0873a19ef27b,2022-05-04 12:59:17.002277,2022-05-04 13:51:17.120201,3120.117924,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,d2d34f04-7879-41b9-a92c-dd261e60170c,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,ea5e5f4d-0f73-4f47-b762-c358904493bc,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8070,5ddea3ff-dc0d-4c74-88b1-990a601c02bc,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,PYBOSSA,3,3,f5c3da8f-956c-42d9-b8ae-75077dc7bea6,0181bcbd-1b42-4a72-a296-e1ead57d54f5,2022-05-04 14:28:39.837805,2022-05-04 14:29:25.420068,45.582263,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,27d4e6d1-915c-4648-93e5-9cfd224c04f7,42a9ecd9-a957-46a9-9286-163cd2b7c1ee,It is the main argument of the entire article,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,9c863253-f014-48de-bf37-8065a3aaaf8a,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8071,e7ce0cbb-3dd5-4c8e-ae3d-026349700587,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,PYBOSSA,3,3,6e8e3480-a0ec-4efc-8841-c7c807f82988,061e588a-d17a-4d2c-9031-f04451f5bf26,2022-05-04 08:14:44.905905,2022-05-04 08:15:52.723134,67.817229,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,aabc412d-f635-4991-981f-fbe5a12dd331,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,9c863253-f014-48de-bf37-8065a3aaaf8a,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8071,e7ce0cbb-3dd5-4c8e-ae3d-026349700587,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,PYBOSSA,3,3,e81c992a-c8c1-4f5e-9cc9-0ce4b1695978,0181bcbd-1b42-4a72-a296-e1ead57d54f5,2022-05-04 14:28:40.103189,2022-05-04 14:30:35.195514,115.092325,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,44da59ad-f456-4b17-90b7-fdf8c121685b,a2ea8d10-3066-4e08-82cf-d5a6dcdd2d0a,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Arguments2022_03_16,f9b12673861c5399888d0d8d8acf1ce7e0ce62ca4aa16f863aea37784b8f2221,9c863253-f014-48de-bf37-8065a3aaaf8a,https://pe.goodlylabs.org/project/DDI_Dekai_Arguments/task/8071,e7ce0cbb-3dd5-4c8e-ae3d-026349700587,DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,PYBOSSA,3,3,8d4ce7d9-f5fd-4b5d-8d92-7860d9943609,bfb27782-f723-45ef-95f2-0873a19ef27b,2022-05-05 02:33:04.754832,2022-05-05 04:44:39.019313,7894.264481,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,27d4e6d1-915c-4648-93e5-9cfd224c04f7,069567e0-8368-4904-8e1c-0841cec74f77,It is the main argument of the entire article,0,0,0,0,
