,uuid,score
0,0181bcbd-1b42-4a72-a296-e1ead57d54f5,0.55496
1,061e588a-d17a-4d2c-9031-f04451f5bf26,0.61067
2,22b5ce92-10fa-4035-a7a0-1dfe6ab18084,0.62932
3,281aa121-0107-4a4a-bace-5ef44099728c,0.61048
4,2ca880ee-ff53-4e70-8428-0fd5366bfaf8,0.59045
5,2ff3f3a1-6aa1-49db-ab9c-a1cd9e6fc11e,0.57199
6,3044ba34-cb6c-4a21-9b14-372c5e6f8656,0.62000
7,39d48d11-dab1-4bd6-9b83-f06ddf16fdb9,0.58036
8,3d5a49af-c4d3-49df-914e-96657669c887,0.55899
9,3e3ea9d9-93a8-4cc7-b9a8-d5d4c12ac899,0.66808
10,4777ebce-20ee-4e60-8909-799d4c1c83a9,0.58052
11,5942c9b4-9c44-4b30-977f-329403eeddc3,0.62460
12,59ac8c33-cbcf-4aef-972d-32035dd49d9d,0.57074
13,5cd898a0-c9da-4809-8f0a-844d3896bbbc,0.63466
14,6acf6f00-47d9-422f-914d-998660d4510c,0.85947
15,6c3137e0-62fb-44c9-8b29-2a5ec005b8a7,0.56798
16,98db9b1e-e220-4d71-96b8-1d4843edb1d1,0.58270
17,9b7e7266-2f9f-4947-95de-507121b81625,0.60510
18,a2d9d5f8-0275-4405-8984-fa0a4cb85536,0.60867
19,ba94f5d4-c60c-4f11-abca-4ede9ceaa4d2,0.59885
20,bc6c2cce-b79e-45a7-9767-02484d803dd0,0.63707
21,bfb27782-f723-45ef-95f2-0873a19ef27b,0.58783
22,d57b44db-2dab-416a-81cf-90ace481679c,0.58989
23,dd09a3b2-0011-4742-95cc-fefc37559c18,0.71701
24,e658863b-22cc-42c7-86f0-15fd4484d9b6,0.61147
25,00ca2d0c-d15b-4178-9531-8fcb3f79a06f,0.55324
26,2c41d024-06e3-4b6d-848e-ebdf56fad350,0.54779
27,7661ab8c-702b-4f88-b5fe-06249ef608f2,0.58580
28,8fdf67a5-e33e-43b0-9ed5-270bf2750240,0.54752
29,af12a79c-5a8d-495d-8979-43ac9822b6a5,0.62879
30,ba4c7d38-7815-42dd-bd11-235a569d0d81,0.58534
31,e738693d-cb2c-420c-8689-3f8a3791c207,0.58496
32,f0904d89-b393-4400-9fac-3d64b61b8a97,0.59532
33,fc69434d-daa2-463a-a023-4d52dfb3a59a,0.61550
34,7a92c891-183c-44f1-af6d-c3b125656c7b,0.53860
